count,sentence
87,"As soon as we are provided with the supporting claim documentation, we will comment further on the eventual losses in our final report."
62,The sound market value at the time of arrival of the cargo (landing date on [DATE]) is still awaited from the consignees.
45,Please find below our preliminary survey findings for the subject case:
40,The following persons attended the joint survey:
29,The following persons attended the survey:
28,The following information was gathered:
21,Notice of Loss letter and email to third parties
16,We shall keep you updated of further developments. Final Report to follow.
16,The following persons were present during the survey:
16,Rainfall Period – [N]:[N] hours to [N]:[N] hours on [DATE].
15,We are in close contact with the consignees and shall keep you updated of the developments.
14,"Meanwhile, in case you require any additional documents / information / clarification, please feel free to email us."
14,The package was found in externally sound condition.
13,"We are in close contact with the consignees and shall keep you updated of the developments. Meanwhile, in case you require any additional documents / information / clarification, please feel free to email us."
13,Condition Found during survey: (Photo No. [N] to [N])
13,The following cargo operations were carried out at the following dates / time:
11,Total [N] nos. metal wire grommet lashing was connected with [N] nos. turnbuckles + [N] nos. D-Shackles + [N] nos. welded D-rings.
11,"On completion of destuffing, the empty container was checked and the inner wall panels were found apparently sound except for some normal wear and tear."
11,"According to the cargo weight, the lifting equipment was found appropriate for loading the subject cargo."
10,We collected commingled sample of [N] kg from randomly selected bags for detailed inspection.
10,"The result of the sampling/segregation jointly done in the presence of the customs bonded warehouse in-charge, using a sieve/strainer are as follows:"
10,We shall keep you updated of further developments.
10,The required set temperature is mentioned on the Bill of Lading as +[N] °C.
10,Consignee's surveyor and attending representatives were present on behalf of the consignees.
9,Examination of the cargo at the time indicated:
8,Inspection of cargo carried out co-jointly with the surveyors representing other interests.
8,[N] bales’ outer kraft paper packing at top side was found with shoe marks.
8,Ascertained gross wt. of [N] sound bags as per P/List (@ [N]/kg) : [N] kg
8,The stopper plates welding and hot work were completed on [DATE] @ [N]:[N] hours.
8,Total [N] nos. Wire lashings as follows:
8,Plastic tube was inserted into the wire rope contact area of the lifting lugs to avoid scratches/rubbing marks.
8,The above package was parked at the vessel wharf for loading.
8,Loading gear preparation commenced [N]:[N] hrs to [N]:[N] hrs.
8,Ship's crane was connected with spreader (SWL [N] MT) using [N] nos. of wire slings @ [N] MT.
8,"Out of [N] stoppers, [N] stoppers with double plate and the remaining [N] nos. stoppers were single facing plate. The entire bottom contact area was welded."
8,2nd cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side.
8,3rd cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side.
8,4th cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side.
8,There were [N] x [N] plate stoppers and [N] x [N] plate stoppers among the [N] stoppers. The entire bottom contact area was welded.
8,Plastic tubes were inserted into the wire rope contact area of the lifting lugs to avoid scratches or rubbing marks.
8,The above total of [N] lashings were conducted as per the ship's master's requirements.
8,Container’s RHS door 1st locking bar handle found affixed with original seal no. PIL SG [N] and the same was found tallying with the seal no. mentioned on the Bill of Lading. Container Mfg. Date: [N].
7,WITHOUT PREJUDICE SPOT SURVEY REPORT
7,Condition found of Container No. [CONTAINER NO.] & Cargo: (Photo No. [N] to [N])
7,"Quantity as per XX; Weight, measures, quality as per shipper declaration"
7,[N] nos. nylon straps (approx. [N] mm width) in broken condition found tied along with the container’s hooking point at the base. Straps edges found smashed. No markings or labels certifying the capacity were found on the straps.
6,Containers loaded on board of vessel: [DATE].
6,The following persons were present during survey:
6,Notice of Loss letter and email to third parties.
6,The following personnel attended the survey:
6,"Upon removing the tarpaulin sheet and on checking, we found the cargo in water- and fungus-affected at places in varying degrees and emitting a foul smell."
6,The following persons were present during joint survey:
6,Scaled gross wt. found of [N] water affected bags : [N] kg
6,"Shipping documents (Policy, Invoice, Packing List, Certificate of Origin, Bill of Lading, Bill of Entry etc)."
6,Inspection of the cargo in the cargo holds
6,Inspection of lifting gear and arrangements
6,Shore equipment proposed to discharge the cargo
6,Discharging was planned using ship’s cranes.
6,Minimum [N] bundles to maximum [N] bundles lifted using spreader connected with poly belts.
6,Appropriate precautions were taken to protect cargo during periods of rainfall.
6,Transportation of the cargo from jetty to the warehouse
6,"The cargo was handled as per customary practice, using appropriate and customary equipment."
6,"The warehouse floor was spread with black tarpaulin. A few bundles were noted with kraft paper cover found in torn, cut, and pressed condition. However, no damage to the contents was observed. The cargo was observed to be in bright white colour."
6,"Pursuant to survey instructions received from the Instructing Principals, we advised consignees to issue formal notice of claim to carriers."
6,"The goods were packed on [DATE], [N] days prior to stuffing into the container. Hence, the cargo remained in a packed condition for about [N] days."
6,Marks & Nos noted from the label pasted on the boxes: (Photo No. [N]).
6,Consignee's quality representative attended the joint survey.
6,Cargo was found placed onto the rubber mats / wooden planks on the trailer beds and secured with [N] x chain lashings.
6,Loading package commenced @ [N]:[N] hours on [DATE].
6,Stoppers welding works and the lashing works commenced @ [N]:[N] hours.
6,[N] nos. wire rope slings applied on the lifting lugs at aft. Port side and [N] nos. wire rope slings applied on the lifting lugs at aft. starboard side.
6,[N] nos. wire rope slings applied on the lifting lugs at fwd. Port side and [N] nos. wire rope slings applied on the lifting lugs at fwd. starboard side.
6,The above total of [N] lashings were conducted as per the ship's Master's requirements.
6,Stopper Plates (80x80x12 mm) were applied as follows:
6,"Stopper Plates ([N] plates of stoppers with each plate of 300x200x14 mm, and [N] plates of stoppers with bottom plate is 300x200x14 mm and top facing welded plate is 150x150x14) were applied as follows:"
6,1st cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stoppers at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side.
6,5th cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos2 plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side.
6,Loading the package commenced @ [N]:[N] hours on [DATE].
6,"All Plates stored in the open storage area, exposed to weather."
6,Surface of all Plates covered with Dust.
6,Trust the above interim update would be found in order.
6,Carton was found water affected / moist condition.
5,"Upon checking the [N] bags pertaining to Container No. [CONTAINER NO.], the details noted are as follows:"
5,Condition found of remaining [N] bags destuffed from 19x20’ Containers: (Photo No. [N] to [N])
5,"Entire [N] containers were found in apparently sound and intact condition, except for some normal wear and tear."
5,Relevant dates as per online tracking of containers:
5,Empty containers released to shipper: [DATE].
5,Loading port container gate in: [DATE].
5,Containers loaded on board of vessel: [DATE]
5,"Vessel departed from load port – Durban, South Africa: [DATE]"
5,Vessel arrival at port of transshipment – Singapore: [DATE]
5,Container was on hold at port of transshipment – Singapore: From [DATE] to [DATE] i.e. approx. [N] days.
5,"Containers arrived at port of discharge – Nhava Sheva, India: [DATE]."
5,"Containers remained at port discharge – Nhava Sheva, India terminal: [DATE] to [DATE] i.e. storage for approx. [N] days."
5,"Gate out from Nhava Sheva, India terminal to nominated CFS: On around [DATE]."
5,Container arrival at ULA Container Freight Station: [DATE].
5,"Indian customs assessment, duty payment and out of charge was taken on: [DATE] i.e. storage for approx. [N] days."
5,"Containers delivered at J M Baxi Ports & Logistics Ltd., Customs Bonded Warehouse / [N] & [DATE]."
