count,sentence
72,As soon as we are provided with the we will comment further on the eventual losses in our final report.
45,GLADSTONE AGENCIES LIMITED International Surveyors & Loss Adjusters - ISO {N}:{N} Certified (Offices in INDIA & NEPAL – www.gladstone.co.in) PRELIMINARY SURVEY REPORT NO.
39,The matter was referred to the shipper for further action.
39,Issued without prejudice.
38,{N} plates stopper at front side + {N} nos.
38,{N} plates stopper at Starboard side).
35,"{CONTAINER}, and stored in the Cold Room No."
32,{N} Condition of the container No.
31,The consignees’ representative - Mr.
31,The sound market value at the time of arrival of the cargo (landing date on {DATE}) is still awaited from the consignees.
30,Dated: {DATE} ØØØ
30,{N} plates stopper at Port side + {N} nos.
27,"Meanwhile, in case you require any additional documents / information / clarification, please feel free to email us."
26,Dated: {DATE}.
26,Final Report to follow.
26,We shall keep you updated of further developments.
24,{N} plates stopper at rear side and {N} nos.
20,"C -{N}, MIDC, Pawane, TTC Industrial Area, Navi Mumbai for Container No."
20,wire rope slings applied on the lifting lugs at fwd.
19,"Upon cutting the sound apples, the pulp was found in hard & white condition."
19,and their cargo underwriters).
19,mentioned on the Bill of Lading.
18,"Hence, we were contacted and requested to conduct the survey."
18,and their cargo underwriters.
18,The entire bottom contact area was welded.
18,Port side and {N} nos.
18,wire rope slings applied on the lifting lugs at aft.
17,{N} to {N} submitted by the consignees).
17,: {N} Invoice No.
17,Paints found peeled off.
16,The details noted are given below.
16,2nd cradle from aft direction secured with {N} nos.
16,single plate at Port side + {N} nos.
14,{N} & {N}) During our survey the consignee presented us {N} cartons for our detailed inspection.
14,The package was found in externally sound condition.
14,Lashing completed on {DATE} @ {N}:{N} hrs.
14,No markings or labels certifying the capacity were found on the straps.
14,Mohsin produced before us {N} cartons said to have been destuffed from the above mentioned container no.
13,{N} to {N}) respectively.
13,nylon straps (approx.
13,"Upon opening and on checking, Apple fruits packed inside the cartons were found with mixture of sound /Bruised/ Mechanical Injured/ Rotten & Shrinkage condition at places to varying degrees."
12,"However, the precise stage of damage is not known due to lack of documentary evidence."
12,"Baburao Bhosale from Gladstone Agencies Ltd., our local correspondent surveyor acting on behalf of Messrs DP Survey Group N.V."
12,3rd cradle from aft direction secured with {N} nos.
12,double welded plates at front side + {N} nos.
12,double welded plates at rear side and {N} nos.
12,The pressure of the randomly selected Apple fruits from the boxes / cartons were checked with the help of fruits pressure tester.
11,Dated: {DATE}
