filename,commodity,categories
G-1183-24G AYM Syntex (Lead Marine - CPIC) Prelim Report - JUMBO BAGS - JUMBO BAGS.docx,unknown,"cargo/damage description (货物,损坏描述） | Recycled Polyester Chips"
G-1183-24G AYM Syntex (Lead Marine - CPIC) Prelim Report JUMBO BAGS.docx,unknown,"cargo/damage description (货物,损坏描述） | Recycled Polyester Chips"
G-1666-23BW R Fresh Import {Your Ref WKW Ref 554-23-35161-C}.docx,unknown,"Surveyor in Charge: | Ms. Chua Yen Li - Senior Executive Officer, Cargo Claims Department"
Dev Bhumi.docx,unknown,Carrier: | Evergreen Shipping Agency (Chile) SPA | Evergreen Shipping Agency (Chile) SPA | Evergreen Shipping Agency (Chile) SPA | Evergreen Shipping Agency (Chile) SPA | Evergreen Shipping Agency (Chile) SPA | Evergreen Shipping Agency (Chile) SPA | Evergreen Shipping Agency (Chile) SPA
G-1138-24G Ratnamani Metals & Tubes (Lead Marine) Prelim Report.docx,unknown,"cargo/damage description (货物,损坏描述） | Machine parts in bent / dented / cut / broken / scratched condition."
"Lead Marine (sample cargo damage , investigation report).docx",unknown,"cargo/damage description (货物,损坏描述） | PUMPKIN SEEDS KERNELS, 720 BAGS / 18144.000 KGS /all external package found mouldy"
Vessel ELara - Damage Report.docx,unknown,CO2 ABSORBER BRACKET DAMAGED | CO2 ABSORBER BRACKET DAMAGED
Vessel ELara - Damage Report.docx,unknown,ABSORBER SKIRT DAMAGED | ABSORBER SKIRT HEAVILY DENTED AT ONE PLACE
Vessel ELara - Damage Report.docx,unknown,ABSORBER SKIRT HEAVILY CUT / DENTED AT ONE PLACE | FLASH DRUMS FOUND DENTED AT PLACES IN VARYING DEGREES
FRADJUSTING - Blank Joint Survey Form.docx,unknown,Subject | Cargo Damage Inspection
Orange Spot Survey Report - IG International.docx,orange,"Damaged cargo for Container No. | : | MEDU9111970 (40’ HR) 1,600 Cartons"
Orange Spot Survey Report - HGS International.docx,orange,"Damaged cargo for Container No. | : | MEDU9111970 (40’ HR) 1,600 Cartons"
G-1861-20B D. Manivannan & Co. {DPS Ref No. IND-20020-MDE} PLA (Dragon).docx,unknown,Carrier: | Evergreen Shipping Agency
G-1246-18B Defects to be measured grapes {DPS Ref No. IND-     -KM}.docx,grape,Pallet Number | Grower code | Position of box on the pallet | Pack Date | Pulp temp | Total  Pcs % | Sound % | Soft % | Rot% | Softness% | Stem Dehydration% | Split berries% | Shatter% | Darker berries % | SO2 bleaching % | Mould % | Brown berries % | Discolouration%
G-1246-18B Defects to be measured grapes {DPS Ref No. IND-     -KM}.docx,grape,Pallet Number | Grower code | Position of box on the pallet | Pack Date | Pulp temp | Total  Pcs % | Sound % | Soft % | Rot% | Softness% | Stem Dehydration% | Split berries% | Shatter% | Darker berries % | SO2 bleaching % | Mould % | Brown berries % | Discolouration%
