count,sentence
87,As soon as we are provided with the we will comment further on the eventual losses in our final report.
62,The sound market value at the time of arrival of the cargo (landing date on [DATE]) is still awaited from the consignees.
45,Please find below our preliminary survey findings for the subject case:
40,The following persons attended the joint survey:
29,The following persons attended the survey:
28,The following information was gathered:
24,"Based on our survey findings, we can conclude that the fresh Apple fruits were found with the following defects: (Photo No. [N] to [N])."
21,Notice of Loss letter and email to third parties
20,"Upon cutting the sound apples, the pulp was found in hard & white condition."
19,"Our survey was held on [DATE] at the consignees’ nominated cold storage Supreme Fresh (Fresh Fruit & Dry Fruit Hub), Plot No. C -[N], MIDC, Pawane, TTC Industrial Area, Navi Mumbai for Container No. [CONTAINER NO.]."
18,"(Offices in Kolkata, Mumbai, Delhi, Chennai, Bangalore, & Nepal)"
17,The pressure of the randomly selected Apple fruits from the boxes / cartons were checked with the help of fruits pressure tester. The details noted are given below.
16,We shall keep you updated of further developments. Final Report to follow.
16,The following persons were present during the survey:
16,Rainfall Period – [N]:[N] hours to [N]:[N] hours on [DATE].
15,We are in close contact with the consignees and shall keep you updated of the developments.
14,"Meanwhile, in case you require any additional documents / information / clarification, please feel free to email us."
14,The package was found in externally sound condition.
14,"Upon cutting the bruised Apple fruits, the pulp was found partially bruised & brownish in the bruised area (Photo No. [N])."
13,"We are in close contact with the consignees and shall keep you updated of the developments. Meanwhile, in case you require any additional documents / information / clarification, please feel free to email us."
13,Condition Found during survey: (Photo No. [N] to [N])
13,The following cargo operations were carried out at the following dates / time:
12,"Based on our survey findings, we can conclude that the fresh Apple fruits were found with the following defects: (Photo No. [N] to [N]) respectively."
12,The average pressure of sound Apples were noted in the range of [N] LBS to [N] LBS.
11,Total [N] nos. metal wire gromet lashing was connected with [N] nos. turnbuckles + [N] nos. D-Shackles + [N] nos. welded D-rings.
11,"On completion of destuffing, the empty container was checked and the inner wall panels were found apparently sound except for some normal wear and tear."
11,"According to the cargo weight, the lifting equipment was found appropriate for loading the subject cargo."
10,"As far as it could be seen, entire [N] bags were found in externally sound and intact condition. No live / dead weevils were observed on the surface of the bags."
10,We collected comingled sample of [N] kg from randomly selected bags for detailed inspection.
10,"The result of the sampling/segregation jointly done in the presence of the customs bonded warehouse in-charge, using a sieve/strainer are as follows:"
10,We shall keep you updated of further developments.
10,The required set temperature is mentioned on the Bill of Lading as +[N] °C.
10,"Mr. Sachin Chavan (Consignees’ Surveyor), Cargo Inspectors & Superintendence Pvt. Ltd, (on behalf of the consignees)."
10,"According to the cargo weight, the lifting equipment found appropriate for loading the subject cargo."
10,"Upon cutting the sound Apple fruits, the pulp was found hard & white (Photo No. [N] & [N])."
10,The average pressure of Bruised / shrinkage Apples was noted in the range of [N] LBS to [N] LBS.
9,"As an act to mitigate the loss, we advised the consignees to sell the cargo as soon as possible to avoid further damages to Grapes."
9,Examination of the cargo at the time indicated:
8,Inspection of cargo carried out co-jointly with the surveyor’s representing others interests.
8,[N] bales’ outer kraft paper packing at top side was found with shoe marks.
8,"The pulp temperature of the fruit was checked by means of a digital probe thermometer of the fruit, whereby the following values were recorded (in degrees Celsius)."
8,Ascertained gross wt. of [N] sound bags as per P/List (@ [N]/kg) : [N] kg
8,The stoppers plates welding hot works completed on [DATE] @ [N]:[N] hours.
8,Total [N] nos. Wire lashings as follows:
8,Plastic tube was inserted into the wire rope contact area of the lifting lugs to avoid scratches/rubbing marks.
8,The above package was parked at the vessel wharf for loading.
8,Loading gear preparation commenced [N]:[N] hrs to [N]:[N] hrs.
8,Ships crane was connected with spreader (SWL [N] MT) using [N] nos. of wire slings @ [N] MT.
8,"Out of [N] stoppers, [N] stoppers with double plate and the remaining [N] nos. stoppers were single facing plate. The entire bottom contact area was welded."
8,2nd cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side).
8,3rd cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side).
8,4th cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side).
8,There were [N] x [N] plate stoppers and [N] x [N] plate stoppers among the [N] stoppers. The entire bottom contact area was welded.
8,Plastic tubes were inserted into the wire rope contact area of the lifting lugs to avoid scratches or rubbing marks.
8,The above total of [N] lashings were conducted as per the ship's master's requirements.
8,Container’s RHS door 1st locking bar handle found affixed with original seal no. PIL SG [N] and the same was found tallying with the seal no. mentioned on the Bill of Lading. Container Mfg. Date: [N].
7,WITHOUT PREJUDICE SPOT SURVEY REPORT
7,Condition found of Container No. [CONTAINER NO.] & Cargo: (Photo No. [N] to [N])
7,"Upon cutting the sound apples, the pulp was found in hard & white condition (Photo No. [N])."
7,"Upon cutting the bruising apples, the pulp was found slightly soft and brownish areas of the apple fruits"
7,"Upon cutting the bruising apples, the pulp was found slightly soft and brownish areas of the apple fruits."
7,"During our survey the consignee presented us [N] cartons for our detailed inspection. Upon opening and on checking, Apple fruits packed inside the cartons were found with mixture of sound /Bruised/ Mechanical Injured/ Rotten & Shrinkage condition at places to varying degrees."
7,"Quantity as per XX; Weight, measures, quality as per shipper declaration"
7,[N] nos. nylon straps (approx. [N] mm width) in broken condition found tied along with the container’s hooking point at the base. Straps edges found smashed. No markings or labels certifying the capacity were found on the straps.
6,Containers loaded on board of vessel: [DATE].
6,The following persons were present during survey:
6,Notice of Loss letter and email to third parties.
6,The following personnels attended the survey:
6,"Upon removing the tarpaulin sheet and on checking, we found the cargo in water / fungus affected at places in varying degrees and emitting foul smell."
6,The following persons were present during joint survey:
6,Scaled gross wt. found of [N] water affected bags : [N] kg
6,"Shipping documents (Policy, Invoice, Packing List, Certificate of Origin, Bill of Lading, Bill of Entry etc)."
6,Inspection of the cargo in the cargo holds
6,Inspection of lifting gear and arrangements
6,Shore equipment proposed to discharge the cargo
6,Discharging was planned using ship’s cranes.
6,Minimum [N] bundles to maximum [N] bundles lifted using spreader connected with poly belts.
6,Precautions taken during rain hours/time
6,Transportation of the cargo from jetty to the warehouse
6,"The cargo was handled as per customary practice, using appropriate and customary equipment."
6,"The warehouse floor was spread with black tarpaulin. A few bundles were noted with kraft paper cover found in torn, cut, and pressed condition. However, no damage to the contents was observed. The cargo was observed to be in bright white colour."
6,"Pursuant to survey instructions received from Vanway Global vide their email of [DATE], we contacted the consignees and advised them to send formal notice of claim to the carriers / liable parties and invite them for the joint survey (see notice of loss / emails attached as Annexure A1 & A2)."
6,"The goods were packed on [DATE], [N] days prior to stuffing into the container. Hence, the cargo remaining in a packed condition about to [N] days."
6,We have requested the consignees to submit the final sale invoice of the Grapes for our perusal on a “without prejudice” basis.
6,Marks & Nos noted from the label pasted on the boxes: (Photo No. [N]).
6,"Mr. Mohsin Patel (Quality Control),Dev Bhumi Cold Chains Pvt. Ltd (Consignees)."
6,Cargo was found placed onto the rubber mats / wooden planks on the trailer beds and secured with [N] x chain lashings.
6,Loading package commenced @ [N]:[N] hours on [DATE].
6,Stoppers welding works and the lashing works commenced @ [N]:[N] hours.
6,[N] nos. wire rope slings applied on the lifting lugs at aft. Port side and [N] nos. wire rope slings applied on the lifting lugs at aft. starboard side.
6,[N] nos. wire rope slings applied on the lifting lugs at fwd. Port side and [N] nos. wire rope slings applied on the lifting lugs at fwd. starboard side.
6,The above total [N] lashing were conducted as per the ships Master requirements.
6,Stopper Plates (80x80x12 mm) were applied as follow:
6,"Stopper Plates ([N] plates of stoppers with each plate of 300x200x14 mm, and [N] plates of stoppers with bottom plate is 300x200x14 mm and top facing welded plate is 150x150x14) were applied as follows:"
6,1st cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stoppers at rear side and [N] nos. [N] plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side).
6,5th cradle from aft direction secured with [N] nos. stoppers: [N] nos. [N] plates stopper at front side + [N] nos. [N] plates stopper at rear side and [N] nos2 plates stopper at Port side + [N] nos. [N] plates stopper at Starboard side).
6,Loading the package commenced @ [N]:[N] hours on [DATE].
6,"All Plates stored in the open storage area, exposed to weather."
6,Surface of all Plates covered with Dust.
6,"Mr. Mohsin Patel (Quality Control), Dev Bhumi Cold Chains Pvt. Ltd (Consignees)."
6,The pulp temperature of Apples fruits was checked inside the cold room with the digital thermometer inside the cartons and found in the range [N]°C to [N]°C (Photo No. [N] & [N]).
6,The average pressure of sound Apples were noted in the range of [N] LBS to [N] LBS (Photo No. [N] & [N]).
6,"On measuring the randomly selected plums fruits size using digital Vernier calliper, the plums were found under [N] mm to [N] mm."
6,Trust the above interim update would be found in order.
6,Carton was found water affected / moist condition.
5,"Upon checking the [N] bags pertaining to Container No. [CONTAINER NO.], the details noted are as follows:"
5,"After completion of above sampling & segregation, we again requested the warehouse in-charge to open at least few bags for our detailed survey. Thereafter [N] bags out of [N] bags were randomly selected and opened for our detailed survey. Upon checking, the materials (Green Mung Beans) inside the bags were found free from live / dead weevils."
5,Condition found of remaining [N] bags destuffed from 19x20’ Containers: (Photo No. [N] to [N])
5,"[N] bag was randomly selected and opened for our detailed survey. Upon checking, the materials (Green Mung Beans) inside the bags were found free from live / dead weevils."
5,"Entire [N] containers were found in apparently sound and intact condition, except for some normal wear and tear."
5,[N] containers were desutuffed successfully and spillage of cargo and/or bugs / weevils were noted inside and/or on the surface of the bags. [N] bags ([N] bags each from [N] containers) were found short.
5,"During opening the doors of subject Container No. [CONTAINER NO.], they found spillage of cargo near the door end and materials affected / damaged by bugs / weevils. Some weevils/bugs were found on the surface of the bags."
5,Relevant dates as per online tracking of containers:
5,Empty containers released to shipper: [DATE].
5,Loading port container gate in: [DATE].
5,Containers loaded on board of vessel: [DATE]
5,"Vessel departed from load port – Durban, South Africa: [DATE]"
5,Vessel arrival at port of transshipment – Singapore: [DATE]
5,Container was on hold at port of transshipment – Singapore: From [DATE] to [DATE] i.e. approx. [N] days.
5,"Containers arrived at port of discharge – Nhava Sheva, India: [DATE]."
5,"Containers remained at port discharge – Nhava Sheva, India terminal: [DATE] to [DATE] i.e. storage for approx. [N] days."
5,"Gate out from Nhava Sheva, India terminal to nominated CFS: On around [DATE]."
5,Container arrival at ULA Container Freight Station: [DATE].
5,"Indian customs assessment, duty payment and out of charge was taken on: [DATE] i.e. storage for approx. [N] days."
5,"Containers delivered at J M Baxi Ports & Logistics Ltd., Customs Bonded Warehouse / [N] & [DATE]."
5,Total number of days from empty containers released to shipper till date of delivery at customs bonded warehouse and the bags remained stuffed / packed inside the container totals to approx. [N] days.
5,EIR report dated [DATE] was found clean with no adverse remarks.
5,"In view of the above, it appears that the bugs/weevils may have entered from the gaps of the door end or vents of the Container No. [CONTAINER NO.], due to delay in transit and/or during prolong storage at the transshipment port and/or at discharge port."
5,Reason for delay in taking delivery from the discharge port terminal and/or ULA CFS not furnished by the consignees.
5,"Shortage of [N] bags, probably occurred due to pre-shipment reason and not due to fortuity in transit."
5,"During survey, we ascertained [N]% to [N]% of cargo in apparently sound condition and [N]% to [N]% of cargo was found with mixture of split/holes/foreign particles inside the bags."
